filename, language, Ignore, YAML, Markdown, HTML, JSON, Properties, Dockerfile, JavaScript, Python, TypeScript, CSS, comment, blank, total
api\controllers\weekController.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 3, 22, 86
api\controllers\winnerController.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 7, 12, 57
api\models\game.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 9, 21
api\models\pick.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
api\models\result.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
api\package-lock.json, JSON, 0, 0, 0, 0, 2871, 0, 0, 0, 0, 0, 0, 0, 1, 2872
api\package.json, JSON, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
api\routes\games.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
api\routes\mail.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
api\routes\picks.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
api\routes\results.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
api\routes\week.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
api\routes\winner.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
api\server.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 8, 10, 51
docker-compose.yml, YAML, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
web_scraper\Dockerfile, Dockerfile, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 14, 36
web_scraper\data.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
web_scraper\getGames.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 22, 60, 265
web_scraper\getScores.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 3, 35, 127
web_scraper\getWinner.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 8, 12, 31
Total, -, 6, 35, 15, 278, 14646, 10, 33, 1318, 290, 641, 654, 263, 699, 18888
